event_id,src_ip,kind,timestamp,label,src_ip_hash,kind_encoded,hour_of_day,day_of_week,is_weekend,is_night,is_business_hours,http_status_code,is_error_code,url_length,has_sql_keywords,has_path_traversal,has_xss_attempt,request_count_1min,request_count_5min,unique_kinds_count,avg_time_between_requests,ssh_username_length,ssh_has_root,ssh_has_admin,ssh_invalid_user,port_number,is_common_port,is_high_port
evt_400692,133.231.61.64,web_fuzz,2025-12-22T18:38:05.899975,0,135316164,3,18,0,0,0,0,200.0,0.0,8.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_117094,189.52.44.152,web_fuzz,2025-12-22T18:39:54.899975,0,189524552,3,18,0,0,0,0,200.0,0.0,10.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_917546,51.214.112.115,ssh_failed,2025-12-22T18:41:30.899975,0,53151315,1,18,0,0,0,0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,,,
evt_868170,17.108.161.55,ssh_failed,2025-12-22T18:58:52.899975,0,18096155,1,18,0,0,0,0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,,,
evt_449077,56.119.13.144,web_fuzz,2025-12-22T19:00:18.899975,0,57191444,3,19,0,0,0,0,200.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_536802,84.28.117.211,web_fuzz,2025-12-22T19:03:49.899975,0,84291911,3,19,0,0,0,0,200.0,0.0,10.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_215795,62.40.43.188,ssh_failed,2025-12-22T19:24:20.899975,0,62404488,1,19,0,0,0,0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,,,
evt_666456,196.172.52.24,port_scan,2025-12-22T19:26:02.899975,0,197725224,2,19,0,0,0,0,,,,,,,0,0,0,0.0,,,,,22.0,1.0,0.0
evt_694798,169.243.84.68,web_fuzz,2025-12-22T19:34:17.899975,0,171438468,3,19,0,0,0,0,200.0,0.0,11.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_778684,185.58.136.197,web_fuzz,2025-12-22T19:51:31.899975,0,185593797,3,19,0,0,0,0,304.0,0.0,8.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_553834,172.191.224.231,web_fuzz,2025-12-22T19:52:17.899975,0,173932631,3,19,0,0,0,0,200.0,0.0,10.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_846794,59.148.40.219,port_scan,2025-12-22T20:00:55.899975,0,60484219,2,20,0,0,0,0,,,,,,,0,0,0,0.0,,,,,22.0,1.0,0.0
evt_898329,150.219.204.93,port_scan,2025-12-22T20:07:16.899975,0,152210493,2,20,0,0,0,0,,,,,,,0,0,0,0.0,,,,,80.0,1.0,0.0
evt_341162,72.79.110.246,web_fuzz,2025-12-22T20:31:47.899975,0,72801246,3,20,0,0,0,0,200.0,0.0,6.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_750817,189.52.44.152,web_fuzz,2025-12-22T20:32:14.899975,0,189524552,3,20,0,0,0,0,200.0,0.0,8.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_846722,161.81.216.153,web_fuzz,2025-12-22T20:46:19.899975,0,161831753,3,20,0,0,0,0,404.0,1.0,6.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_691194,118.63.193.21,port_scan,2025-12-22T20:55:45.899975,0,118649321,2,20,0,0,0,0,,,,,,,0,0,0,0.0,,,,,80.0,1.0,0.0
evt_735863,125.35.64.33,web_fuzz,2025-12-22T20:58:00.899975,0,125356433,3,20,0,0,0,0,404.0,1.0,11.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_497859,125.35.64.33,ssh_failed,2025-12-22T21:03:36.899975,0,125356433,1,21,0,0,0,0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,,,
evt_176819,96.82.0.154,web_fuzz,2025-12-22T21:19:16.899975,0,96820154,3,21,0,0,0,0,304.0,0.0,11.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_826847,142.150.185.148,port_scan,2025-12-22T21:55:38.899975,0,143518648,2,21,0,0,0,0,,,,,,,0,0,0,0.0,,,,,22.0,1.0,0.0
evt_156757,58.32.173.6,web_fuzz,2025-12-22T21:56:18.899975,0,58337306,3,21,0,0,0,0,404.0,1.0,9.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
evt_388086,120.128.5.175,ssh_failed,2025-12-22T22:03:35.899975,0,121280675,1,22,0,0,0,0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,,,
evt_818798,151.142.3.195,web_fuzz,2025-12-22T22:05:31.899975,0,152420495,3,22,0,0,0,0,304.0,0.0,11.0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,
